spawn,creature,avg_kills_h,n_sessions,value_per_kill,contrib_h,top_loot
GAZER SPECTRE +21% DMG BOUNTY,Thanatursus,80.4,1,179,14396,halberds|274||platinum coins|—||meat|—||ham|—|
Gazer Spectre,Gazer Spectre,601.0,1,178,106978,brown crystal splinters|263||small diamonds|241||small sapphires|214||platinum coins|—|
Gazer Spectre,Thanatursus,59.0,1,179,10561,halberds|274||platinum coins|—||meat|—||ham|—|
Gazer Spectres,Gazer Spectre,666.0,1,178,118548,brown crystal splinters|263||small diamonds|241||small sapphires|214||platinum coins|—|
Gazer Spectres,Thanatursus,90.0,1,179,16110,halberds|274||platinum coins|—||meat|—||ham|—|
Glooth Plains - Surface,Rot Elemental,418.0,1,11,4598,strong mana potions|100||strong health potions|4||platinum coins|—||gold coins|—|
Glooth Plains - Surface,Glooth Blob,416.0,1,10,4160,gold coins|—||globs of glooth|—|
Glooth Plains - Surface,Blood Beast,310.0,1,11,3410,poisoned fangs|837||slime hearts|98||gold coins|—|
Glooth Plains - Surface,Devourer,278.0,1,11,3058,platinum coins|—||gold coins|—||globs of glooth|—|
Glooth Plains - Surface (Oramond),Rot Elemental,532.9,1,11,5861,strong mana potions|100||strong health potions|4||platinum coins|—||gold coins|—|
Glooth Plains - Surface (Oramond),Glooth Blob,497.1,1,10,4971,gold coins|—||globs of glooth|—|
Glooth Plains - Surface (Oramond),Devourer,232.9,1,11,2561,platinum coins|—||gold coins|—||globs of glooth|—|
Glooth Plains - Surface (Oramond),Blood Beast,157.1,1,11,1728,poisoned fangs|837||slime hearts|98||gold coins|—|
Glooth Tower,Rustheap Golem,417.6,1,63,26308,necromantic rust|1409|📦|platinum coins|—||gold coins|—|
Glooth Tower,Glooth Golem,340.8,1,63,21470,glooth injection tubes|1421||great mana potions|32||platinum coins|—||gold coins|—|
Glooth Tower,Devourer,266.4,1,11,2930,platinum coins|—||gold coins|—||globs of glooth|—|
Glooth Tower,Rot Elemental,187.2,1,11,2059,strong mana potions|100||strong health potions|4||platinum coins|—||gold coins|—|
Glooth Tower,Quara Hydromancer Scout,7.2,1,12,86,quara eyes|1143||shrimp|2||gold coins|—||fish|—|
Glooth Tower,Quara Constrictor Scout,7.2,1,12,86,shrimp|2||quara tentacles|—||gold coins|—|
Glooth Tower,Quara Predator Scout,4.8,1,12,57,quara bones|460||gold coins|—|
Glooth Tower,Quara Pincher Scout,4.8,1,12,57,quara pincers|356|📦|gold coins|—|
Glooth Tower,Blood Beast,2.4,1,11,26,poisoned fangs|837||slime hearts|98||gold coins|—|
Gnomegate Lava Hot Spot,Vulcongra,427.2,1,95,40584,magma clumps|716||platinum coins|—||gold coins|—||bananas|—|
Gnomegate Lava Hot Spot,Massive Fire Elemental,283.2,1,95,26904,platinum coins|—||gold coins|—|
Gnomegate Lava Hot Spot,Dragon Lord,168.0,1,95,15960,green mushrooms|88||gold coins|—||dragon ham|—|
Grim Reaper (Yalahar),Grim Reaper,505.3,2,86,43458,demonic essence|898||gold coins|—||flasks of demonic blood|—|
Grim Reaper Yalahar,Grim Reaper,530.0,1,86,45580,demonic essence|898||gold coins|—||flasks of demonic blood|—|
Grim reaper Yalahar,Grim Reaper,535.3,1,86,46039,demonic essence|898||gold coins|—||flasks of demonic blood|—|
Grim reaper Yalahar,Nightmare,4.1,1,22,89,demonic essence|898||scythe legs|455||soul orbs|20||ham|—|
Grim reaper Yalahar,Nightmare Scion,3.5,1,22,76,meat|—||gold coins|—|
Hellspawn (Yalahar),Hellspawn,358.7,2,96,34435,hellspawn tails|265||great health potions|—||gold coins|—|
Hellspawn (Yalahar),Plaguesmith,53.3,2,61,3249,two handed swords|238||battle hammers|112||morning stars|34||steel shields|17|
Hellspawn (Yalahar),Gozzler,9.3,2,96,890,plate shields|10||gold coins|—|
Hero Fortres,Vicious Squire,247.3,1,29,7172,crossbows|54||bolts|1||meat|—||gold coins|—|
Hero Fortres,Hero,143.4,1,29,4159,bows|40||arrows|2||red roses|1||sniper arrows|—|
Hero Fortres,Dwarf Henchman,46.8,1,29,1358,
Hero Fortres,Bonebeast,93.7,1,10,936,bony tails|183||skulls|1||gold coins|—||bones|—|
Hero Fortres,Wyvern,17.6,1,29,509,wyvern talismans|4068||gold coins|—||dragon ham|—|
Hero Fortres,Renegade Knight,49.8,1,4,199,platinum coins|—||gold coins|—|
Hero Fortres,Stone Golem,5.9,1,29,169,sulphurous stones|100||small stones|5||gold coins|—|
Hero Fortres,Lich,4.4,1,29,127,spellbooks|—||platinum coins|—||gold coins|—|
Hero Fortres,Vile Grandmaster,23.4,1,4,93,platinum coins|—||meat|—||gold coins|—|
Hero Fortres,Mechanical Fighter,2.9,1,29,84,
Hero Fortres,Rat,1.5,1,29,42,cheese and gold coins |—|
Hero Fortres,Mad Technomancer,1.5,1,29,42,
Liberty Bay Quara Grotto,Quara Mantassin Scout,51.8,1,12,621,gold coins|—|
Liberty Bay Quara Grotto,Quara Mantassin,51.8,1,12,621,mantassin tails|932||gold coins|—|
Liberty Bay Quara Grotto,Quara Pincher Scout,49.1,1,12,589,quara pincers|356|📦|gold coins|—|
Liberty Bay Quara Grotto,Quara Constrictor,43.6,1,12,523,quara tentacles|—||gold coins|—|
Liberty Bay Quara Grotto,Quara Hydromancer,40.9,1,12,490,quara eyes|1143||gold coins|—|
Liberty Bay Quara Grotto,Quara Predator Scout,38.2,1,12,458,quara bones|460||gold coins|—|
Liberty Bay Quara Grotto,Quara Pincher,38.2,1,12,458,quara pincers|356|📦|platinum coins|—||great health potions|—||gold coins|—|
Liberty Bay Quara Grotto,Quara Constrictor Scout,32.7,1,12,392,shrimp|2||quara tentacles|—||gold coins|—|
Liberty Bay Quara Grotto,Quara Predator,16.4,1,12,196,quara bones|460||gold coins|—|
Liberty Bay Quara Grotto,Quara Hydromancer Scout,16.4,1,12,196,quara eyes|1143||shrimp|2||gold coins|—||fish|—|
Lower Spike,Vulcongra,118.8,1,95,11286,magma clumps|716||platinum coins|—||gold coins|—||bananas|—|
Lower Spike,Lost Thrower,160.8,1,68,10934,lost bracers|1349|📦|mad froths|1000||broken throwing axes|736||bloody dwarven beards|78|
Lower Spike,Lost Basher,153.6,1,68,10444,
Lower Spike,Lost Husher,140.4,1,68,9547,
Lower Spike,Wyrm,118.8,1,68,8078,wyrm scales|353||strong mana potions|100||strong health potions|4||gold coins|—|
Lower Spike,Behemoth,79.2,1,78,6177,battle stones|128||assassin stars|4||platinum coins|—||meat|—|
Lower Spike,Drillworm,90.0,1,68,6120,green crystal splinters|353||blue crystal splinters|349||brown crystal splinters|263||coal|5|
Lower Spike,Dragon Lord,48.0,1,95,4560,green mushrooms|88||gold coins|—||dragon ham|—|
Lower Spike,Enslaved Dwarf,42.0,1,68,2856,iron ore|403||small amethysts|172||small emeralds|161||platinum coins|—|
Lower Spike,Nightmare Scion,6.0,1,22,132,meat|—||gold coins|—|
Lycanthrope Grounds (Edron),Werefox,246.0,2,79,19434,werefox tails|1328||fox paws|918||platinum coins|—||gold coins|—|
Lycanthrope Grounds (Edron),Werebadger,207.5,2,79,16392,werebadger claws|688|📦|werebadger skulls|—||platinum coins|—||gold coins|—|
Lycanthrope Grounds (Edron),Wereboar,149.0,2,79,11771,wereboar tusks|942|📦|wereboar hooves|96|🧪|platinum coins|—||gold coins|—|
Lycanthrope Grounds (Edron),Werewolf,149.0,1,77,11473,werewolf fur|1223|📦|werewolf fangs|102||plate shields|10||gold coins|—|
Lycanthrope Grounds (Edron),Werebear,95.5,2,77,7353,werebear fur|2174|📦|werebear skulls|1865||platinum coins|—||ham|—|
Lycanthrope Grounds (Edron),Bloodback,4.0,1,79,316,
Medusa Tower,Medusa,121.6,1,606,73676,ultimate health potions|91||great mana potions|32||strands of medusa hair|—||platinum coins|—|
Medusa Tower,Serpent Spawn,211.6,1,113,23908,small sapphires|214||snake skins|205||green mushrooms|88||gold coins|—|
Medusa Tower,Clay Guardian,116.8,1,113,13203,blank runes|7||small stones|5||lumps of earth|—||gold coins|—|
Medusa Tower,Omnivora,115.3,1,113,13024,white mushrooms|3||ham|—||gold coins|—||fish|—|
Medusa Tower,Behemoth,154.7,1,78,12069,battle stones|128||assassin stars|4||platinum coins|—||meat|—|
Medusa Tower,Gargoyle,6.3,1,113,713,small stones|5||stone wings|—||potatoes|—||gold coins|—|
Medusa Tower,Stone Golem,3.2,1,29,91,sulphurous stones|100||small stones|5||gold coins|—|
Norc Castle,Norcferatu Heartless,360.0,1,201,72360,platinum coins|—|
Norc Castle,Norcferatu Nightweaver,352.0,1,201,70752,platinum coins|—|
Norc Castle,Varg,252.0,1,201,50652,platinum coins|—|
Norc Castle,Orclops Bloodbreaker,64.0,1,201,12864,
Norc Castle,Gloom Maw,44.0,1,201,8844,
Norc Castle,Dworc Shadowstalker,8.0,1,201,1608,
Norc Castle,Tarantula,16.0,1,24,384,tarantula eggs|90||gold coins|—|
North Roshamuul (South - SOLO RP),Retching Horror,746.0,1,256,190976,great mana potions|32||pools of chitinous glue|—||platinum coins|—||great health potions|—|
North Roshamuul (South - SOLO RP),Choking Fear,700.0,1,256,179200,brown crystal splinters|263||great spirit potions|113||ultimate health potions|91||great mana potions|32|
North Roshamuul (South - SOLO RP),Frazzlemaw,300.0,1,248,74400,frazzle tongues|505||frazzle skins|336||brown crystal splinters|263||great mana potions|32|
North Roshamuul (South - SOLO RP),Silencer,284.0,1,248,70432,silencer claws|3804|🧪|platinum coins|—||gold coins|—|
Podzilla Quaras,Quara Raider,592.4,10,276,163499,platinum coins|—|
Podzilla Quaras,Quara Looter,362.9,10,270,97973,platinum coins|—|
Podzilla Quaras,Quara Plunderer,294.1,10,270,79412,platinum coins|—|
Port Hope Spider Cave,Giant Spider,276.0,2,17,4692,plate armors|112||poison arrows|1||gold coins|—|
Port Hope Spider Cave,Tarantula,121.5,2,24,2916,tarantula eggs|90||gold coins|—|
Port Hope Water Elementals (South),Water Elemental,369.4,1,12,4432,strong mana potions|100||strong health potions|4||platinum coins|—||gold coins|—|
Port Hope Water Elementals (South),Quara Mantassin Scout,75.0,1,12,900,gold coins|—|
Quara (bestiary),Quara Raider,386.2,1,276,106605,platinum coins|—|
Quara (bestiary),Quara Looter,293.4,1,270,79228,platinum coins|—|
Quara (bestiary),Quara Plunderer,205.3,1,270,55434,platinum coins|—|
Quaras Podzilla,Quara Raider,657.3,3,276,181407,platinum coins|—|
Quaras Podzilla,Quara Looter,494.5,3,270,133527,platinum coins|—|
Quaras Podzilla,Quara Plunderer,330.3,3,270,89181,platinum coins|—|
Ravenous Lava Lurker,Ravenous Lava Lurker,394.7,2,,,
Ravenous Lava Lurker,Dromedary,2.1,1,,,meat |—|
Ripper Spectre,Ripper Spectre,601.2,5,183,110027,two handed swords|238||great spirit potions|113||platinum coins|—|
Ripper Spectre,Arachnophobica,503.7,5,187,94183,great spirit potions|113||platinum coins|—|
Roshamuul,Frazzlemaw,202.9,1,248,50308,frazzle tongues|505||frazzle skins|336||brown crystal splinters|263||great mana potions|32|
Roshamuul,Silencer,108.6,1,248,26925,silencer claws|3804|🧪|platinum coins|—||gold coins|—|
Roshamuul,Shock Head,11.4,1,255,2914,gold coins|—|
Roshamuul DP,Choking Fear,728.1,3,256,186383,brown crystal splinters|263||great spirit potions|113||ultimate health potions|91||great mana potions|32|
Roshamuul DP,Retching Horror,675.0,3,256,172793,great mana potions|32||pools of chitinous glue|—||platinum coins|—||great health potions|—|
Roshamuul DP,Silencer,290.5,3,248,72048,silencer claws|3804|🧪|platinum coins|—||gold coins|—|
Roshamuul DP,Frazzlemaw,262.6,3,248,65121,frazzle tongues|505||frazzle skins|336||brown crystal splinters|263||great mana potions|32|
Roshamuul West,Frazzlemaw,664.5,2,248,164786,frazzle tongues|505||frazzle skins|336||brown crystal splinters|263||great mana potions|32|
Roshamuul West,Silencer,499.7,2,248,123933,silencer claws|3804|🧪|platinum coins|—||gold coins|—|
Roshamuul West,Guzzlemaw,305.9,2,243,74339,frazzle tongues|505||great mana potions|32||platinum coins|—||great health potions|—|
Roshamuul West,Sight of Surrender,1.8,1,248,457,stone skin amulets|8895||blue crystal shards|1347||broken visors|578||green crystal splinters|353|
STONFIN 0908,Stonerefiner,680.9,1,39,26553,poisonous slime|28|🧪|coal|5||rat cheese and stonerefiner&#39;s skulls |—||rare earth|—|
STONFIN 0908,Bat,13.0,1,39,508,
STONFIN 0908,Tarantula,17.0,1,24,406,tarantula eggs|90||gold coins|—|
STONFIN 0908,Corym Charlatan,9.1,1,39,356,soft cheese|—||rat cheese|—||gold coins|—||cheese|—|
STONFIN 0908,Marsh Stalker,5.2,1,39,203,worms|1||meat|—||gold coins|—||fish|—|
STONFIN 0908,Feverish Citizen,5.2,1,39,203,
STONFIN 0908,Corym Skirmisher,5.2,1,39,203,soft cheese|—||rat cheese|—||gold coins|—||cheese|—|
STONFIN 0908,Snake,5.2,1,23,120,nothing |—|
STONFIN 0908,Swampling,2.6,1,39,101,white mushrooms|3||swampling mosses|—||pieces of swampling wood|—||gold coins|—|
Sea serpent (Svargrond),Young Sea Serpent,392.4,1,32,12556,morning stars|34||gold coins|—|
Sea serpent (Svargrond),Sea Serpent,318.0,1,32,10176,sea serpent scales|362||platinum coins|—||gold coins|—||dragon ham|—|
Teste 1 Quara Podizilla,Quara Raider,452.0,1,276,124752,platinum coins|—|
Teste 1 Quara Podizilla,Quara Looter,300.0,1,270,81000,platinum coins|—|
Teste 1 Quara Podizilla,Quara Plunderer,232.0,1,270,62640,platinum coins|—|
Teste 2 Quara Podizilla,Quara Raider,427.5,1,276,117990,platinum coins|—|
Teste 2 Quara Podizilla,Quara Looter,320.6,1,270,86568,platinum coins|—|
Teste 2 Quara Podizilla,Quara Plunderer,233.4,1,270,63028,platinum coins|—|
True asuras,True Midnight Asura,667.3,8,460,306955,
True asuras,True Dawnfire Asura,555.3,8,466,258771,
True asuras,Hellhound,171.6,8,460,78949,demonic essence|898||blazing bones|363||black pearls|231||great spirit potions|113|
True asuras,True Frost Flower Asura,149.0,8,456,67944,
True asuras,Hyaena,13.6,1,230,3136,meat and worms |—|
True asuras,Nomad,1.3,5,466,598,gold coins|—|
True asuras,Hellspawn,1.9,1,96,182,hellspawn tails|265||great health potions|—||gold coins|—|
Upper Roshamuul,Choking Fear,561.0,1,256,143616,brown crystal splinters|263||great spirit potions|113||ultimate health potions|91||great mana potions|32|
Upper Roshamuul,Retching Horror,554.5,1,256,141952,great mana potions|32||pools of chitinous glue|—||platinum coins|—||great health potions|—|
Upper Roshamuul,Frazzlemaw,266.0,1,248,65968,frazzle tongues|505||frazzle skins|336||brown crystal splinters|263||great mana potions|32|
Upper Roshamuul,Silencer,206.0,1,248,51088,silencer claws|3804|🧪|platinum coins|—||gold coins|—|
Vampire Crypt (Edron),Vampire Bride,445.3,1,23,10241,vampire teeth|300|🧪|strong mana potions|100||platinum coins|—||gold coins|—|
Vampire Crypt (Edron),Vampire Viscount,378.9,1,23,8715,gold coins|—|
Vampire Crypt (Edron),Vampire,353.7,1,23,8134,gold coins|—|
Vampire Crypt (Edron),Wolf,2.1,1,606,1275,meat|—|
Vampire Crypt (Edron),Snake,9.5,1,23,217,nothing |—|
Vampire Crypt (Edron),Wyvern,2.1,1,29,61,wyvern talismans|4068||gold coins|—||dragon ham|—|
Vampire Crypt (Edron),Wisp,2.1,1,23,48,
Vampire Crypt (Edron),Rabbit,1.1,1,23,24,carrots and meat |—|
Vampire Crypt (Edron),Deer,1.1,1,23,24,meat|—||ham|—|
Werehayena hunt,Werehyaena,241.0,1,89,21450,halberds|274||werehyaena noses|159||platinum coins|—||meat|—|
Werehayena hunt,Werehyaena Shaman,128.1,1,89,11404,small amethysts|172||werehyaena noses|159||great mana potions|32||platinum coins|—|
Werehyena MS 290+,Werehyaena,637.3,1,89,56719,halberds|274||werehyaena noses|159||platinum coins|—||meat|—|
Werehyena MS 290+,Werehyaena Shaman,373.0,1,89,33194,small amethysts|172||werehyaena noses|159||great mana potions|32||platinum coins|—|
Werelion -1,Werelioness,727.7,1,95,69135,soul orbs|20||rapiers|—||platinum coins|—||meat|—|
Werelion -1,Werelion,683.2,1,95,64906,dark armors|121||great spirit potions|113||platinum coins|—||lion&#39;s manes|—|
Werelion -1,White Lion,249.7,1,95,23719,terra boots|2203|📦|twin hooks|152||great spirit potions|113||platinum coins|—|
Werelion -1 (post nerf),Werelioness,556.4,1,95,52854,soul orbs|20||rapiers|—||platinum coins|—||meat|—|
Werelion -1 (post nerf),Werelion,504.0,1,95,47880,dark armors|121||great spirit potions|113||platinum coins|—||lion&#39;s manes|—|
Werelion -1 (post nerf),White Lion,173.5,1,95,16478,terra boots|2203|📦|twin hooks|152||great spirit potions|113||platinum coins|—|
Werelion -1 (post nerf),Yirkas Blue Scales,1.1,1,95,103,
Werelions -1,Werelioness,648.8,2,95,61637,soul orbs|20||rapiers|—||platinum coins|—||meat|—|
Werelions -1,Werelion,566.2,2,95,53793,dark armors|121||great spirit potions|113||platinum coins|—||lion&#39;s manes|—|
Werelions -1,White Lion,177.4,2,95,16850,terra boots|2203|📦|twin hooks|152||great spirit potions|113||platinum coins|—|
Weretiger -2,Cunning Werepanther,604.9,1,191,115529,platinum coins|—||gold coins|—|
Weretiger -2,Weretiger,394.1,1,191,75264,weretiger teeth|—||platinum coins|—||gold coins|—|
Weretiger -2,White Weretiger,220.5,1,191,42123,weretiger teeth|—||platinum coins|—||gold coins|—|
Weretigers -1,Cunning Werepanther,487.7,1,191,93142,platinum coins|—||gold coins|—|
Weretigers -1,Weretiger,325.5,1,191,62176,weretiger teeth|—||platinum coins|—||gold coins|—|
Weretigers -1,White Weretiger,141.7,1,191,27065,weretiger teeth|—||platinum coins|—||gold coins|—|
Weretigers -2,Cunning Werepanther,398.0,1,191,76018,platinum coins|—||gold coins|—|
Weretigers -2,Weretiger,251.0,1,191,47941,weretiger teeth|—||platinum coins|—||gold coins|—|
Weretigers -2,White Weretiger,140.0,1,191,26740,weretiger teeth|—||platinum coins|—||gold coins|—|
West Roshamuul (SOLO RP),Frazzlemaw,748.1,1,248,185525,frazzle tongues|505||frazzle skins|336||brown crystal splinters|263||great mana potions|32|
West Roshamuul (SOLO RP),Silencer,583.4,1,248,144684,silencer claws|3804|🧪|platinum coins|—||gold coins|—|
West Roshamuul (SOLO RP),Guzzlemaw,342.1,1,243,83137,frazzle tongues|505||great mana potions|32||platinum coins|—||great health potions|—|
West Roshamuul (SOLO RP),Retching Horror,1.3,1,256,326,great mana potions|32||pools of chitinous glue|—||platinum coins|—||great health potions|—|
