item,fair,imbuements,delivery_npcs,delivery_bands,npc_price
Hellhound Slobber,,,Yasir,Very High,500
hellspawn tail,265,Powerful Demon Presence x20,,,
Hemp Rope,,,Yasir,Low,350
Hibiscus Dress,,,Rashid,Very High,3000
Hideous Chunk,,,Yasir,High,510
High Guard Flag,,,Esrik|Yasir,High,550
High Guard Shoulderplates,,,Esrik|Yasir,Medium,130
Holy Ash,,,Yasir,High,160
horoscope,3636,,Yasir,High,40
Human Teeth,,,Yasir,Very High,2000
Humongous Chunk,,,Yasir,High,540
hydra head,442,,Yasir,Low,600
Hydrophytes,,,Yasir,High,220
Ice Flower,,,Yasir,Medium,370
Idol of The Forge,,,Yasir,High,950
Infernal Heart,,,Yasir,Very High,2100
Infernal Robe,,,Yasir,Very High,1200
Infernoid Ember,,,Yasir,Medium,160
Inkwell,,,Outro|Yasir,High,720
instable proto matter,208,,Yasir,Low,300
Ivory Carving,,,Yasir,Low,300
Jaws,,,Yasir,Very High,3900
Key To The Drowned Library,,,Yasir,Medium,330
Knife,,,Others|Outro,Medium,1
Knight Axe,,,Djinn,Low,2000
Knight Legs,,,Djinn,Low,5000
Kongra's Shoulderpad,,,Yasir,Medium,100
Lamassu Hoof,,,Yasir,High,330
lamassu horn,112,,Yasir,Low,240
lancer beetle shell,503,,Yasir,High,80
lancet,3998,,Yasir,Very High,90
Lavafungus Head,,,Yasir,Very High,900
Lavafungus Ring,,,Yasir,Very High,390
Lavaworm Jaws,,,Yasir,Very High,1100
Lavaworm Spike Roots,,,Yasir,Very High,600
Lavaworm Spikes,,,Yasir,Very High,750
Lightning Boots,,,Rashid,High,2500
Lightning Headband,,,Rashid,Medium,2500
Lightning Robe,,,Rashid,Very High,11000
Lime Tart,,,Outro|Yasir,Very High,1870
Liodile Fang,,,Outro|Yasir,High,480
Lion Cloak Patch,,,Yasir,High,190
Lion Crest,,,Yasir,Very High,270
lion's mane,,Basic Slash x25|Intricate Slash x25|Powerful Slash x25,,,
little bowl of myrrh,,Intricate Featherweight x10|Powerful Featherweight x10,,,
Lizard Tail,,,Yasir,Medium,95
Lost Basher's Spike,,,Yasir,Medium,280
lost bracers,1314,,Yasir,High,140
Luminous Orb,,,Yasir,Medium,1000
Lump of Earth,,,Yasir,Medium,130
mad froth,434,,Yasir,High,80
Magma Boots,,,Rashid,Low,2500
magma clump,696,,Outro|Telas,Medium,570
Magma Coat,,,Rashid,Low,11000
Magma Legs,,,Rashid,,11000
Magma Monocle,,,Rashid,Low,2500
Makara Fin,,,Yasir,Medium,350
Makara Tongue,,,Yasir,Medium,320
Mammoth Tusk,,,Yasir,Medium,100
Mammoth Whopper,,,Rashid,High,300
mantassin tail,932,Intricate Punch x20|Powerful Punch x20,,,
Manticore Ear,,,Yasir,Very High,310
Manticore Tail,,,Yasir,Very High,220
Mantosaurus Jaw,,,Outro|Yasir,High,2800
Mega Dragon Heart,,,Yasir,Very High,1100
Mercenary Sword,,,Rashid,Low,12000
Mercurial Wing,,,Outro|Yasir,Very High,2500
Metal Bat,,,Flint|Outro,Very High,9000
metal jaw,2629,,Outro|Yasir,Very High,260
Metal Spats,,,Flint|Outro,Very High,2000
metal spike,,Powerful Precision x10,,,
Mino Lance,,,Flint|Outro,High,7000
mino shield,2599,,Flint|Outro,Low,3000
Molten Dragon Essence,,,Yasir,High,840
mooh'tah shell,,Intricate Slash x25|Powerful Slash x25,,,
moohtant horn,,Powerful Chop x20,,,
Mould Heart,,,Yasir,Very High,2100
Mould Robe,,,Yasir,Very High,1200
mouldy powder,251,,Yasir,High,200
Mummified Demon Finger,,,Yasir,Medium,800
Mutated Bat Ear,,,Yasir,High,420
mutated flesh,112,,Yasir,Low,50
Mutated Rat Tail,,,Yasir,High,150
mystical hourglass,,Powerful Lich Shroud x5,,,
Naga Archer Scales,,,Yasir,High,340
Naga Armring,,,Yasir,Medium,390
Naga Earring,,,Yasir,Low,380
Naga Warrior Scales,,,Yasir,Medium,340
Necromantic Core,,,Outro|Yasir,Very High,10000
necromantic rust,1337,,Outro|Yasir,High,390
Night Harpy Feathers,,,Outro|Yasir,Very High,5000
Nighthunter Wing,,,Outro|Yasir,High,2000
Nimmersatt's Seal,,,Yasir,Low,520
odd organ,476,,Yasir,Medium,410
ogre ear stud,126,,Yasir,Medium,180
ogre nose ring,137,Intricate Bash x15|Powerful Bash x15,,,
Old Girtablilu Carapace,,,Yasir,Very High,570
orc tooth,,Basic Chop x20|Intricate Chop x20|Powerful Chop x20,,,
Orcish Axe,,,Others|Outro,Low,350
Orcish Gear,,,Yasir,Low,85
Orcish Toothbrush,,,Yasir,Low,750
Ornate Crossbow,,,Others|Outro,Medium,12000
Pair of Hellflayer Horns,,,Yasir,Medium,1300
Paper Boat,,,Yasir,High,800
Paper Plane,,,Yasir,Very High,480
peacock feather fan,208,Intricate Electrify x5|Powerful Electrify x5,,,
petrified scream,,Powerful Reap x5,,,
piece of dead brain,,Powerful Vampirism x5,,,
Piece of Draconian Steel,,,Outro|Telas,High,3000
Piece of Frozen Night,,,Yasir,Low,680
Piece of Hell Steel,,,Outro|Telas,Low,500
piece of scarab shell,,Basic Blockade x20|Intricate Blockade x20|Powerful Blockade x20,,,
piece of swampling wood,,Basic Snake Skin x25|Intricate Snake Skin x25|Powerful Snake Skin x25,,,
Piece of Warrior Armor,,,Yasir,Medium,50
pile of grave earth,,Basic Reap x25|Intricate Reap x25|Powerful Reap x25,,,
Pirat's Tail,,,Yasir,Low,180
pirate coin,84,,Yasir,Low,110
plasma pearls,151,,Yasir,Low,250
plasmatic lightning,152,,Yasir,Low,270
plate legs,915,,Others|Outro,Medium,115
poisoned fang,837,,Outro|Yasir,Medium,130
poisonous slime,28,Intricate Venom x20|Powerful Venom x20,,,
polar bear paw,,Powerful Frost x5,,,
Pool of Chitinous Glue,,,Yasir,Medium,480
Pot of Orcish Warpaint,,,Yasir,Low,1150
Prehemoth Claw,,,Outro|Yasir,Very High,2300
Prehemoth Horns,,,Outro|Yasir,Very High,3000
Pressed Flower,,,Yasir,High,570
Pulverized Ore,,,Outro|Telas,Medium,400
quara bone,460,,Yasir,Low,500
quara eye,699,,Yasir,Low,350
quara pincers,356,,Yasir,Low,410
quara tentacle,785,,Yasir,Medium,140
quill,,Powerful Vibrancy x5,,,
Ratana,,,Others|Outro,Low,500
Raw Meat,,,Ninguem|Others,Medium,
Red Goanna Scale,,,Yasir,High,270
red hair dye,30,,Yasir,Medium,40
Relic Sword,,,"Rashid|Yasir, Rashid",Low,25000
Resin Parasite,,,Outro|Yasir,Low,1450
Resinous Fish Fin,,,Yasir,Very High,1250
Rhindeer Antlers,,,Yasir,High,680
Ripper Lance,,,Others|Yasir,High,500
Ripptor Claw,,,Yasir,Very High,2600
Ripptor Scales,,,Yasir,Very High,1200
Ritual Bone Knife,,,Yasir,Low,820
Ritual Tooth,,,Yasir,Medium,135
Rod,,,Yasir,Very High,2200
Roots,,,Yasir,Very High,1200
rope belt,4315,Basic Void x25|Intricate Void x25|Powerful Void x25,,,
rorc feather,,Basic Electrify x25|Intricate Electrify x25|Powerful Electrify x25,,,
Rotten Feather,,,Yasir,Medium,120
Rotten Piece of Cloth,,,Yasir,Medium,30
Rotten Roots,,,Yasir,Very High,3800
Rotten Vermin Ichor,,,Yasir,Very High,4500
Rubber Cap,,,Flint|Outro,Medium,11000
Sabretooth Fur,,,Outro|Yasir,Very High,2500
Sandcrawler Shell,,,Yasir,Very High,20
Scale of Corruption,,,Yasir,Medium,680
Scarab Pincers,,,Yasir,Medium,280
scimitar,100,,Djinn,Medium,150
Scorpion Charm,,,Yasir,High,620
Scroll of Heroic Deeds,,,Yasir,Low,230
scythe leg,455,,Yasir,Low,450
seacrest hair,,Intricate Frost x10|Powerful Frost x10,,,
Sealing Wax,,,Yasir,Medium,620
Shaggy Tail,,,Yasir,High,25
Shamanic Talisman,,,Yasir,High,200
Shark Fins,,,Yasir,Medium,250
shimmering beetles,834,,Yasir,Medium,150
Shiny Stone,,,Outro|Telas,Medium,500
silencer claws,3458,Intricate Void x25|Powerful Void x25,,,
Silencer Resonating Chamber,,,Yasir,Low,600
Silken Bookmark,,,Yasir,Medium,1300
Silver Moon Coin,,,Outro|Yasir,High,11000
Silver Poniard,,,Outro|Yasir,Very High,2000
Sineater Wing,,,Yasir,High,2100
single human eye,1697,,Yasir,Medium,1000
Skull Fetish,,,Yasir,Medium,250
Skullcracker Armor,,,Rashid,High,18000
slime heart,98,Powerful Venom x2,,,
Slimy Leaf Tentacle,,,Outro|Yasir,High,320
Sliver,,,Ninguem|Others,Very High,
Small Flask of Eyedrops,,,Yasir,Medium,95
Small Notebook,,,Yasir,Low,480
Small Treasure Chest,,,Yasir,High,500
Small Tropical Fish,,,Yasir,Medium,380
snake skin,176,Intricate Snake Skin x20|Powerful Snake Skin x20,,,
some grimeleech wings,,Powerful Void x5,,,
spark sphere,353,,Yasir,Medium,350
sparkion claw,435,,Yasir,Low,290
sparkion legs,400,,Yasir,Low,310
sparkion stings,299,,Yasir,Low,280
sparkion tail,338,,Yasir,Medium,300
Spellbook of Mind Control,,,Others|Outro,Low,13000
Spellsinger's Seal,,,Yasir,High,280
Spellweaver's Robe,,,Others|Outro,Low,12000
Sphinx Tiara,,,Yasir,Medium,360
Spiked Bracers,,,Yasir,Medium,1360
Spiked Gorget,,,Yasir,High,850
spiked iron ball,51,,Esrik|Yasir,Low,100
Spiky Club,,,Others|Outro,Very High,300
Spitter Nose,,,Yasir,High,340
Staff Piece,,,Yasir,High,560
Stag Parchment,,,Outro|Yasir,Very High,3000
Stalking Seeds,,,Outro|Yasir,Very High,1800
Stampor Talons,,,Outro|Yasir,High,150
Star Ink,,,Yasir,Low,1250
stone wing,796,,Yasir,Medium,120
Stonerefiner's Skull,,,Yasir,Low,100
strand of medusa hair,,Powerful Epiphany x15,,,
Strange Helmet,,,Djinn,High,500
Strange Substance,,,Yasir,Very High,810
Streaked Devourer Eyes,,,Yasir,Very High,500
Streaked Devourer Legs,,,Yasir,Very High,600
Streaked Devourer Maw,,,Yasir,Very High,400
striped fur,503,,Yasir,Low,50
Sulphider Shell,,,Outro|Yasir,Very High,2200
Sulphur Powder,,,Yasir,High,1900
sulphurous stone,100,,Outro|Telas,Low,100
swamp grass,,Basic Venom x25|Intricate Venom x25|Powerful Venom x25,,,
Swampling Club,,,Others|Outro,Medium,40
Swarmer Antenna,,,Yasir,High,130
Tail of Corruption,,,Yasir,Very High,240
tarantula egg,90,Basic Punch x25|Intricate Punch x25|Powerful Punch x25,,,
Taurus Mace,,,Rashid,Medium,500
Telescope Eye,,,Yasir,Very High,1600
terra boots,2203,,Rashid,Low,2500
Terra Hood,,,Rashid,Low,2500
Terra Mantle,,,Rashid,Low,11000
terramite legs,356,,Yasir,Medium,60
thick fur,,Intricate Quara Scale x15|Powerful Quara Scale x15,,,
thorn,188,,Yasir,Medium,100
Titan Axe,,,Djinn,Low,4000
Toe Nails,,,Outro|Yasir,Very High,4500
Tooth File,,,Yasir,High,60
Torn Page,,,Yasir,Low,340
Trapped Bad Dream Monster,,,Yasir,Medium,900
Tremendous Tyrant Head,,,Yasir,Very High,930
Tremendous Tyrant Shell,,,Yasir,Very High,740
Tunnel Tyrant Head,,,Yasir,High,500
Tunnel Tyrant Shell,,,Yasir,Medium,700
Two-Headed Turtle Heads,,,Yasir,Medium,460
Undertaker Fangs,,,Outro|Yasir,High,2700
unholy bone,129,,Yasir,Medium,480
vampire teeth,201,Basic Vampirism x25|Intricate Vampirism x25|Powerful Vampirism x25,,,
Vampire's Cape Chain,,,Yasir,High,150
Varnished Diremaw Brainpan,,,Yasir,Very High,750
Varnished Diremaw Legs,,,Yasir,Very High,670
Vein of Ore,,,Outro|Telas,High,330
Venison,,,Yasir,High,55
Vibrant Heart,,,Yasir,Very High,2100
Vibrant Robe,,,Yasir,Very High,1200
Vile Axe,,,Rashid,High,30000
volatile proto matter,441,,Yasir,Low,300
War Axe,,,Rashid,Medium,12000
war crystal,,Powerful Slash x5,,,
Wardragon Claw,,,Yasir,Medium,550
Wardragon Tooth,,,Yasir,High,730
warmaster's wristguards,,Powerful Bash x10,,,
Waspoid Claw,,,Yasir,Medium,320
waspoid wing,,Powerful Swiftness x20,,,
Weaver's Wandtip,,,Yasir,Low,250
werebadger claws,688,,Gladys|Yasir,Medium,160
werebadger skull,666,,Gladys|Outro|Yasir,Medium,185
werebear fur,2174,,Gladys|Yasir,High,185
werebear skull,1865,,Gladys|Yasir,High,195
wereboar hooves,96,Basic Vibrancy x20|Intricate Vibrancy x20|Powerful Vibrancy x20,,,
Wereboar Loincloth,,,Gladys|Outro,High,1500
wereboar tusks,820,,Gladys|Outro|Yasir,Medium,165
werecrocodile tongue,830,,Yasir,Medium,570
werefox tail,1286,,Gladys|Yasir,Medium,200
werehyaena nose,159,,Yasir,Low,220
Werehyaena Talisman,,,Yasir,Medium,350
werepanther claw,167,,Yasir,Low,280
Weretiger Tooth,,,Yasir,High,490
werewolf fur,805,,Gladys|Yasir,Medium,380
Widow's Mandibles,,,Yasir,Medium,110
wild flowers,702,,Yasir,Medium,120
Wimp Tooth Chain,,,Yasir,Medium,120
Winged Tail,,,Yasir,High,800
winter wolf fur,,Basic Quara Scale x25|Intricate Quara Scale x25|Powerful Quara Scale x25,,,
witch broom,1760,,Yasir,Medium,60
Wood Cape,,,Others|Outro,Low,5000
Wooden Spellbook,,,Others|Outro,Medium,12000
Worm Sponge,,,Yasir,Very High,4200
wyrm scale,353,Powerful Cloud Fabric x10,,,
wyvern talisman,9,Basic Cloud Fabric x20|Intricate Cloud Fabric x20|Powerful Cloud Fabric x20,,,
Yapunac Dagger,,,Yasir,Medium,240
Zaoan Armor,,,Esrik|Outro,Low,14000
Zaoan Robe,,,Others|Outro,Very High,12000
Zaoan Shoes,,,Esrik|Outro,Low,5000
Zaogun Flag,,,Esrik|Yasir,Very High,600
zaogun shoulderplates,3685,,Esrik|Yasir,High,150
