item_id,item,instant,top_buy,fair,shelf,shelf_units,patient,upside,depth_units,n_sell,n_buy,n_sell_red,captured_at
5890,chicken feather,3297,2605,2430,3999,200,3298,0.416,651,14,8,10,2026-09-14 23:32
3598,cookie,16,1,1,36,9851,17,34.0,2250,14,1,3,2026-09-14 23:10
3597,corncob,14,,,48,253,15,,,6,0,1,2026-09-14 23:10
21204,cowbell,,112,95,,,,,2514,0,8,13,2026-09-14 23:33
3349,crossbow,98,55,54,114,2000,99,1.111,1091,3,2,2,2026-09-14 23:28
23521,crystal bone,10279,8000,5597,10294,33,10280,0.839,134,3,7,17,2026-09-14 23:33
15793,crystalline arrow,22,,,25,2521,23,,,2,0,0,2026-09-14 23:24
9638,cultish mask,12498,10412,9344,15525,175,12499,0.519,165,26,11,13,2026-09-14 23:33
9639,cultish robe,88,,,174,1321,89,,,32,0,9,2026-09-14 23:33
16125,cyan crystal fragment,797,770,731,798,519,798,0.092,1975,3,7,0,2026-09-14 23:21
9657,cyclops toe,74,28,27,80,138,75,1.963,1264,2,2,24,2026-09-14 23:33
3383,dark armor,297,121,121,298,190,298,1.471,131,3,1,12,2026-09-14 23:01
3728,dark mushroom,99,87,82,100,6156,100,0.22,15209,8,4,0,2026-09-14 23:10
34237,dead frog,21,,,79,941,22,,,18,0,0,2026-09-14 23:13
5954,demon horn,994,611,601,996,366,995,0.659,246,8,3,3,2026-09-14 23:33
9647,demonic skeletal hand,78,57,51,99,84,79,0.765,3618,6,5,31,2026-09-14 23:33
3275,double axe,898,,,950,53,899,,,4,0,12,2026-09-14 23:25
16142,drill bolt,,11,11,,,,,1314,0,1,1,2026-09-14 23:24
10276,elder bonelord tentacle,6998,4719,4627,7093,43,6999,0.531,474,12,7,13,2026-09-14 23:33
23523,energy ball,686,601,429,820,467,687,0.9,0,12,5,19,2026-09-14 23:33
23508,energy vein,288,145,138,289,1503,289,1.101,439,11,2,15,2026-09-14 23:33
25742,fig leaf,2298,1421,1411,2302,234,2299,0.63,471,20,4,6,2026-09-14 23:34
3731,fire mushroom,226,185,176,228,1139,227,0.301,10639,5,4,0,2026-09-14 23:10
27462,fox paw,,933,918,,,,,706,0,6,41,2026-09-14 23:34
20199,frazzle skin,388,346,336,397,1546,389,0.182,2188,10,5,0,2026-09-14 23:34
20198,frazzle tongue,694,583,505,696,2375,695,0.38,1818,11,6,0,2026-09-14 23:34
9661,frosty heart,269,211,192,290,173,270,0.51,1904,11,6,6,2026-09-14 23:34
9649,gauze bandage,1098,680,617,1137,35,1099,0.801,695,12,6,20,2026-09-14 23:34
11443,girlish hair decoration,229,113,104,230,410,230,1.212,425,13,5,7,2026-09-14 23:34
21103,glooth injection tube,1659,1451,1421,1692,457,1660,0.189,165,35,2,39,2026-09-14 23:34
239,great health potion,14,,,17,4536,15,,,2,0,9,2026-09-14 23:18
53161,great mana potion,,36,32,,,,,1054,0,3,0,2026-06-23 00:11
7642,great spirit potion,151,131,113,156,7870,152,0.372,41812,9,19,0,2026-09-14 23:18
25697,green bandage,1364,519,516,1450,166,1365,1.692,1949,12,6,15,2026-09-14 23:34
16122,green crystal splinter,395,361,353,397,316,396,0.122,1290,8,5,0,2026-09-14 23:22
3732,green mushroom,99,93,88,100,1057,100,0.136,14341,4,6,1,2026-09-14 23:10
3269,halberd,598,333,274,599,19,599,1.186,804,3,3,9,2026-09-14 23:25
9659,half-eaten brain,2327,,,2992,263,2328,,,14,0,8,2026-09-14 23:34
266,health potion,38,29,24,39,476,39,0.625,32189,1,6,0,2026-09-14 23:18
8894,heavily rusted armor,,71,71,,,,,238,0,1,0,2026-09-14 23:22
10304,hellspawn tail,488,283,265,489,1219,489,0.849,3620,13,9,0,2026-09-14 23:35
18926,horoscope,5299,4283,4177,5500,23,5300,0.274,219,7,5,17,2026-09-14 23:35
3347,hunting spear,49,1,1,50,6,50,49.0,8978,4,1,7,2026-09-14 23:28
10282,hydra head,,462,442,,,,,2148,0,9,18,2026-09-14 23:35
7445,ice cube,98999,,,99000,1,99000,,,2,0,0,2026-09-14 23:15
3284,ice rapier,995,702,684,998,155,996,0.461,1314,4,8,2,2026-09-14 23:29
8016,jalapeno pepper,36,,,70,1730,37,,,8,0,0,2026-09-14 23:10
31442,lamassu horn,556,156,155,649,914,557,3.194,309,3,2,36,2026-09-14 23:35
18925,lancet,5699,4213,4086,5711,11,5700,0.395,758,2,10,33,2026-09-14 23:35
3361,leather armor,48,,,50,5,49,,,2,0,0,2026-09-14 23:01
11680,lizard essence,299,215,191,367,2010,300,0.927,1405,11,4,0,2026-09-14 23:35
5881,lizard scale,197,119,117,221,1462,198,0.701,3137,9,4,22,2026-09-14 23:35
2949,lyre,299,,,329,149,300,,,7,0,1,2026-09-14 23:07
17854,mad froth,2874,1006,1000,2997,1125,2875,1.997,481,5,2,5,2026-09-14 23:35
3046,magic light wand,194,,,195,276,195,,,3,0,17,2026-09-14 23:07
16130,magma clump,1699,722,716,1700,45,1700,1.374,442,1,3,12,2026-09-14 23:35
268,mana potion,67,51,47,69,1685,68,0.468,14429,2,9,4,2026-09-14 23:18
11489,mantassin tail,1274,939,932,1425,37,1275,0.5,125,12,3,34,2026-09-14 23:35
21193,metal jaw,4499,2838,2815,4563,9,4500,0.618,815,4,6,39,2026-09-14 23:35
21175,mino shield,3699,2802,2767,3700,40,3700,0.337,561,2,8,4,2026-09-14 23:19
11472,minotaur horn,72,48,45,73,122,73,0.622,2898,2,3,5,2026-09-14 23:35
3282,morning star,96,34,34,99,22,97,1.912,303,3,1,10,2026-09-14 23:27
3120,mouldy cheese,0,,,1,1,1,,,1,0,0,2026-09-14 23:15
23510,odd organ,1047,700,520,1048,888,1048,1.017,458,2,5,5,2026-09-14 23:36
22189,ogre nose ring,,146,137,,,,,1687,0,6,26,2026-09-14 23:36
21975,peacock feather fan,347,213,208,349,672,348,0.678,4276,9,7,15,2026-09-14 23:36
11481,pelvis bone,84,12,11,98,569,85,7.909,2815,11,2,8,2026-09-14 23:36
35572,pirate coin,109,93,91,110,30406,110,0.209,12764,7,4,4,2026-09-14 23:36
3357,plate armor,348,121,112,349,17,349,2.116,278,6,2,3,2026-09-14 23:02
3410,plate shield,,10,10,,,,,1368,0,1,0,2026-09-14 23:19
3448,poison arrow,,1,1,,,,,9545,0,1,4,2026-09-14 23:24
21195,poisoned fang,1089,861,837,1399,169,1090,0.538,484,15,4,23,2026-09-14 23:36
11473,purple robe,104,,,120,719,105,,,5,0,0,2026-09-14 23:37
11491,quara bone,599,477,460,698,84,600,0.515,743,12,4,26,2026-09-14 23:37
11488,quara eye,1948,1205,1143,1988,143,1949,0.738,574,11,6,28,2026-09-14 23:37
11487,quara tentacle,1374,,,1808,66,1375,,,24,0,67,2026-09-14 23:37
3272,rapier,14,,,20,5,15,,,6,0,0,2026-09-14 23:29
27301,rare earth,74,,,75,696,75,,,4,0,3,2026-09-14 23:37
16126,red crystal fragment,837,740,720,850,42,838,0.165,1597,4,7,0,2026-09-14 23:23
3658,red rose,24,1,1,30,900,25,29.0,96,5,1,0,2026-09-14 23:08
3125,remains of a fish,0,,,1,1,1,,,1,0,2,2026-09-14 23:16
3601,roll,79,,,95,1926,80,,,4,0,0,2026-09-14 23:10
7378,royal spear,249,1,1,250,30,250,249.0,2796,1,1,13,2026-09-14 23:28
3307,scimitar,478,,,490,455,479,,,11,0,31,2026-09-14 23:29
10312,scythe leg,,503,455,,,,,489,0,5,5,2026-09-14 23:37
9666,sea serpent scale,597,367,362,598,33,598,0.652,1502,3,6,9,2026-09-14 23:37
3740,shadow herb,19,15,12,20,3,20,0.667,658,2,3,8,2026-09-14 23:08
25693,shimmering beetles,,1001,1000,,,,,199,0,2,29,2026-09-14 23:37
3457,shovel,448,1,1,449,63,449,448.0,1997,2,1,1,2026-09-14 23:20
3581,shrimp,13,2,2,17,632,14,6.5,1833,6,1,8,2026-09-14 23:10
20200,silencer claws,5438,4446,3804,5484,2246,5439,0.443,1621,19,39,3,2026-09-14 23:37
25701,single human eye,3548,2501,2281,3554,209,3549,0.556,258,20,3,11,2026-09-14 23:37
3114,skull,,1,1,,,,,6630,0,1,4,2026-09-14 23:17
8896,slightly rusted armor,1999,670,614,2000,69,2000,2.257,47,1,3,0,2026-09-14 23:24
8899,slightly rusted legs,1998,215,205,1999,172,1999,8.751,999,1,4,0,2026-09-14 23:24
21194,slime heart,155,104,98,156,710,156,0.592,3625,1,8,0,2026-09-14 23:37
3738,sling herb,94,4,4,96,153,95,23.0,60,2,1,24,2026-09-14 23:08
3033,small amethyst,198,181,172,209,546,199,0.209,5932,17,5,5,2026-09-14 23:24
3028,small diamond,299,256,241,300,728,300,0.245,6617,7,9,0,2026-09-14 23:24
3032,small emerald,249,201,161,250,550,250,0.553,3719,4,9,1,2026-09-14 23:24
3029,small sapphire,248,240,214,249,994,249,0.168,4692,2,10,0,2026-09-14 23:24
1781,small stone,,5,5,,,,,10294,0,1,7,2026-09-14 23:28
9694,snake skin,393,211,205,398,7358,394,0.946,1055,5,6,9,2026-09-14 23:37
3066,snakebite rod,88,36,34,89,28,89,1.618,793,4,3,0,2026-09-14 23:30
17820,soft cheese,4,,,5,44,5,,,3,0,0,2026-09-14 23:10
3375,soldier helmet,328,,,329,15,329,,,6,0,8,2026-09-14 23:12
5944,soul orb,29,22,20,38,7300,30,0.75,70023,10,3,3,2026-09-14 23:24
23518,spark sphere,674,451,353,676,533,675,0.926,0,17,3,20,2026-09-14 23:37
23502,sparkion claw,598,450,435,600,421,599,0.382,80,23,2,13,2026-09-14 23:37
23504,sparkion legs,,401,400,,,,,278,0,2,22,2026-09-14 23:37
23505,sparkion stings,1035,600,299,1048,2340,1036,2.508,401,17,3,10,2026-09-14 23:37
23503,sparkion tail,857,601,596,858,218,858,0.44,270,14,3,22,2026-09-14 23:37
3277,spear,94,1,1,96,116,95,95.0,23471,5,1,0,2026-09-14 23:28
10408,spiked iron ball,,52,51,,,,,795,0,2,31,2026-09-14 23:38
3409,steel shield,75,17,17,76,955,76,3.471,603,1,1,0,2026-09-14 23:20
10278,stone wing,1319,,,1479,254,1320,,,28,0,28,2026-09-14 23:38
10293,striped fur,989,555,503,990,22,990,0.968,389,1,4,21,2026-09-14 23:38
236,strong health potion,10,5,4,11,3186,11,1.75,61444,1,2,11,2026-09-14 23:18
237,strong mana potion,116,109,100,119,9351,117,0.18,80902,7,14,6,2026-09-14 23:18
3362,studded legs,39,,,40,1,40,,,1,0,0,2026-09-14 23:12
10315,sulphurous stone,,105,100,,,,,1408,0,4,33,2026-09-14 23:38
10281,tarantula egg,,91,90,,,,,589,0,2,17,2026-09-14 23:38
813,terra boots,2798,2354,2203,2799,5,2799,0.271,2258,1,16,13,2026-09-14 23:03
3065,terra rod,1955,1702,1560,2099,838,1956,0.269,1750,15,8,6,2026-09-14 23:30
9643,thorn,892,500,500,896,155,893,0.792,115,16,1,11,2026-09-14 23:38
3287,throwing star,95,,,96,4,96,,,1,0,1,2026-09-14 23:28
10392,twin hooks,469,160,152,474,878,470,2.125,184,4,2,0,2026-09-14 23:30
3265,two handed sword,389,242,238,439,7,390,0.845,776,11,3,0,2026-09-14 23:30
7643,ultimate health potion,108,100,91,110,63259,109,0.209,26176,21,9,4,2026-09-14 23:18
10450,undead heart,216,141,132,220,174,217,0.659,1208,7,7,0,2026-09-14 23:38
10316,unholy bone,,551,289,,,,,0,0,3,17,2026-09-14 23:38
9685,vampire teeth,491,300,300,499,1177,492,0.667,1,26,1,12,2026-09-14 23:38
23514,volatile proto matter,1131,651,459,1200,247,1132,1.505,401,16,5,2,2026-09-14 23:38
22051,werebadger claws,,851,688,,,,,1088,0,6,16,2026-09-14 23:39
22055,werebadger skull,999,,,1259,228,1000,,,25,0,55,2026-09-14 23:39
22057,werebear fur,2789,2353,2174,2837,231,2790,0.301,981,17,10,13,2026-09-14 23:39
22056,werebear skull,,1881,1865,,,,,548,0,5,29,2026-09-14 23:39
22053,wereboar hooves,148,100,96,174,103,149,0.823,1387,11,4,3,2026-09-14 23:39
22054,wereboar tusks,,1000,942,,,,,728,0,4,15,2026-09-14 23:39
27463,werefox tail,1869,1401,1328,1874,316,1870,0.412,781,16,6,18,2026-09-14 23:39
33943,werehyaena nose,224,163,159,227,2357,225,0.428,7462,13,6,0,2026-09-14 23:39
22052,werewolf fangs,197,115,102,199,194,198,0.951,1632,3,5,0,2026-09-14 23:39
10317,werewolf fur,,1501,1223,,,,,517,0,8,8,2026-09-14 23:39
3723,white mushroom,4,3,3,6,1805,5,0.667,25512,2,1,5,2026-09-14 23:10
25691,wild flowers,,706,702,,,,,499,0,4,9,2026-09-14 23:39
9652,witch broom,4318,3100,2402,4327,204,4319,0.801,0,11,9,12,2026-09-14 23:39
3492,worm,14,1,1,22,4855,15,21.0,8494,5,1,0,2026-09-14 23:39
3123,worn leather boots,20,,,21,4,21,,,3,0,0,2026-09-14 23:18
9665,wyrm scale,410,363,353,414,3327,411,0.176,2753,5,8,0,2026-09-14 23:39
9644,wyvern talisman,5170,4275,4068,5173,156,5171,0.271,337,14,7,31,2026-09-14 23:39
10406,Zaoan halberd,398,251,213,399,13,399,0.873,1964,2,3,1,2026-09-14 23:25
10414,zaogun shoulderplates,5099,3804,3685,5197,12,5100,0.41,409,10,5,14,2026-09-14 23:39
3027,black pearl,279,235,231,299,1015,280,0.294,1238,9,4,2,2026-09-14 23:21
3411,brass shield,52,22,22,53,2,53,1.409,429,2,1,0,2026-09-14 23:19
3606,egg,199,,,249,13,200,,,2,0,5,2026-09-14 23:10
5925,hardened bone,,27,23,,,,,1334,0,3,19,2026-09-14 23:34
3584,pear,14,,,29,98,15,,,4,0,0,2026-09-14 23:10
3450,power bolt,,3,3,,,,,16575,0,1,2,2026-09-14 23:24
11513,small pitchfork,83,30,29,90,38,84,2.069,1301,9,2,0,2026-09-14 23:37
10454,terramite legs,1887,,,1898,210,1888,,,4,0,35,2026-09-14 23:38
43729,werecrocodile tongue,2299,,,2490,775,2300,,,39,0,11,2026-09-14 23:39
43731,werepanther claw,,167,167,,,,,43,0,1,3,2026-09-14 23:39
3026,white pearl,158,140,124,171,351,159,0.29,2262,4,5,0,2026-09-14 23:24
16131,blazing bone,787,421,363,788,186,788,1.171,2108,6,11,6,2026-09-14 23:31
16119,blue crystal shard,1495,1360,1347,1497,235,1496,0.112,918,6,7,0,2026-09-14 23:21
50056,brinebrute claw,,10000,7714,,,,,638,0,13,1,2026-09-14 23:32
44438,broken Mitmah necklace,,150,146,,,,,2609,0,2,2,2026-09-14 23:32
20184,broken visor,,606,578,,,,,50,0,2,3,2026-09-14 23:32
3081,stone skin amulet,12489,9141,8895,12986,301,12490,0.46,1687,18,18,7,2026-09-14 23:03
22730,some grimeleech wings,1397,1301,1160,1418,521,1398,0.223,1977,16,24,8,2026-09-14 23:37
3067,hailstorm rod,2898,2715,2623,2899,486,2899,0.106,527,12,8,0,2026-09-14 23:30
