spawn,profit_computed_h,coverage,n_sessions,measured_loot_h,valued,missing
Asura (Mirror),774527,1.0,1,776212,Dawnfire Asura 379/h×853;Frost Flower Asura 112/h×853;Hellspawn 128/h×338;Midnight Asura 363/h×853;Nomad 1/h×2801,
Quara (bestiary),744285,1.0,1,1278075,Quara Looter 293/h×841;Quara Plunderer 205/h×841;Quara Raider 386/h×841,
Ripper Spectre,715794,1.0,5,1477480,Arachnophobica 504/h×656;Ripper Spectre 601/h×641,
Demon Goroma,662837,1.0,1,614122,Demon 104/h×1804;Demon Skeleton 90/h×1055;Dragon Lord 35/h×333;Fire Elemental 240/h×1241;Hellhound 26/h×2764,
Weretigers -1,661734,1.0,1,1331313,Cunning Werepanther 488/h×697;Weretiger 326/h×697;White Weretiger 142/h×670,
Weretigers -2,644122,1.0,2,1301017,Cunning Werepanther 476/h×697;Weretiger 295/h×697;White Weretiger 160/h×670,
Werelion -1,552994,1.0,1,1246608,Werelion 683/h×333;Werelioness 728/h×333;White Lion 250/h×333,
Duo burried cathedral,543074,1.0,1,1262110,Arachnophobica 316/h×656;Burster Spectre 371/h×462;Gazer Spectre 193/h×624;Ripper Spectre 68/h×641,
Roshamuul,481525,1.0,1,494349,Frazzlemaw 203/h×1490;Shock Head 11/h×1531;Silencer 109/h×1490,
Gazer Spectres,472194,1.0,1,944206,Gazer Spectre 666/h×624;Thanatursus 90/h×629,
Werelions -1,463680,1.0,2,1074876,Werelion 566/h×333;Werelioness 649/h×333;White Lion 177/h×333,
Crumbling Caverns,461624,1.0,2,920781,Cinder Wyrmling 536/h×497;Shell Drake 413/h×473,
"Duo buried -2 ED, EK",452592,1.0,1,1054200,Arachnophobica 240/h×656;Burster Spectre 19/h×462;Gazer Spectre 173/h×624;Ripper Spectre 278/h×641,
GAZER SPECTRE +21% DMG BOUNTY,440919,1.0,1,888391,Gazer Spectre 626/h×624;Thanatursus 80/h×629,
Gazer Spectre,412135,1.0,1,916227,Gazer Spectre 601/h×624;Thanatursus 59/h×629,
Werelion -1 (post nerf),411224,1.0,1,824888,Werelion 504/h×333;Werelioness 556/h×333;White Lion 173/h×333;Yirkas Blue Scales 1/h×333,
Burster Spectres,364380,1.0,3,734494,Burster Spectre 789/h×462,
gazer sceptre,321909,1.0,2,557631,Gazer Spectre 513/h×624;Thanatursus 3/h×629,
Werehyena MS 290+,316214,1.0,1,666534,Werehyaena 637/h×313;Werehyaena Shaman 373/h×313,
BOOK WORLD,296515,1.0,1,594240,Bluebeak 413/h×346;Lion Hydra 444/h×346,
Gnomegate Lava Hot Spot,292507,1.0,1,585235,Dragon Lord 168/h×333;Massive Fire Elemental 283/h×333;Vulcongra 427/h×333,
Burster Spectre,282744,1.0,1,446932,Burster Spectre 612/h×462,
40 min hyeans -2 south,279783,1.0,1,594542,Werehyaena 629/h×313;Werehyaena Shaman 264/h×313,
Crypt Warrior,267296,1.0,2,572984,Crypt Warrior 820/h×326,
Lower Spike,247057,1.0,1,460066,Behemoth 79/h×274;Dragon Lord 48/h×333;Drillworm 90/h×240;Enslaved Dwarf 42/h×240;Lost Basher 154/h×240;Lost Husher 140/h×240;Lost Thrower 161/h×240;Nightmare Scion 6/h×78;Vulcongra 119/h×333;Wyrm 119/h×240,
demons Oramond 30 minutes,245306,1.0,1,327039,Death Blob 2/h×78;Demon 71/h×1804;Devourer 1/h×46;Glooth Blob 8/h×43;Grim Reaper 55/h×302;Metal Gargoyle 60/h×1611;Rot Elemental 4/h×46;Walker 2/h×1611,
Lycanthrope Grounds (Edron),234260,1.0,2,425895,Bloodback 4/h×277;Werebadger 208/h×277;Werebear 96/h×271;Wereboar 149/h×277;Werefox 246/h×277;Werewolf 149/h×271,
Glooth Tower,231326,1.0,1,1026130,Blood Beast 2/h×46;Devourer 266/h×46;Glooth Golem 341/h×276;Quara Constrictor Scout 7/h×43;Quara Hydromancer Scout 7/h×43;Quara Pincher Scout 5/h×43;Quara Predator Scout 5/h×43;Rot Elemental 187/h×46;Rustheap Golem 418/h×276,
Dark Fauns -2,199248,1.0,1,399498,Boogy 230/h×168;Dark Faun 524/h×168;Twisted Pooka 432/h×168,
Grim reaper Yalahar,162263,1.0,1,302500,Grim Reaper 535/h×302;Nightmare 4/h×78;Nightmare Scion 3/h×78,
Grim Reaper Yalahar,160060,1.0,1,406430,Grim Reaper 530/h×302,
Grim Reaper (Yalahar),152610,1.0,2,285174,Grim Reaper 505/h×302,
Behemoth (Cyclopolis),143576,1.0,1,287960,Behemoth 252/h×274;Cyclops 36/h×274;Cyclops Drone 120/h×274;Cyclops Smith 68/h×274;Dragon 12/h×274;Dwarf Soldier 36/h×274,
werelions,139027,1.0,1,270708,Werelion 198/h×333;Werelioness 198/h×333;White Lion 22/h×333,
Hellspawn (Yalahar),135884,1.0,2,235279,Gozzler 9/h×338;Hellspawn 359/h×338;Plaguesmith 53/h×216,
Werehayena hunt,115544,1.0,1,231784,Werehyaena 241/h×313;Werehyaena Shaman 128/h×313,
buster spectre,114345,1.0,1,50034,Burster Spectre 248/h×462,
Vampire Crypt (Edron),105581,1.0,1,394573,Deer 1/h×82;Rabbit 1/h×82;Snake 9/h×82;Vampire 354/h×82;Vampire Bride 445/h×82;Vampire Viscount 379/h×82;Wisp 2/h×82;Wolf 2/h×3638;Wyvern 2/h×101,
Demons Edron,105295,1.0,1,117918,Dark Apprentice 4/h×1804;Dark Magician 2/h×1804;Demon 50/h×1804;Massive Fire Elemental 9/h×333,
STONFIN 0908,102113,1.0,1,207196,Bat 13/h×139;Corym Charlatan 9/h×139;Corym Skirmisher 5/h×139;Feverish Citizen 5/h×139;Marsh Stalker 5/h×139;Snake 5/h×82;Stonerefiner 681/h×139;Swampling 3/h×139;Tarantula 17/h×84,
Exotic Cave,91898,1.0,1,183958,Exotic Bat 273/h×234;Exotic Cave Spider 111/h×234;Pirat Cutthroat 4/h×234;Pirat Scoundrel 5/h×234,
Sea serpent (Svargrond),81696,1.0,1,163787,Sea Serpent 318/h×115;Young Sea Serpent 392/h×115,
Edron Vampire Crypts,74122,1.0,1,62528,Bonebeast 110/h×36;Demon Skeleton 50/h×1055;Necromancer 114/h×36;Vampire 120/h×82;Vampire Bride 21/h×82;Vampire Viscount 18/h×82,
Glooth Plains - Surface,64164,1.0,1,331234,Blood Beast 310/h×46;Devourer 278/h×46;Glooth Blob 416/h×43;Rot Elemental 418/h×46,
Glooth Plains - Surface (Oramond),63828,1.0,1,306191,Blood Beast 157/h×46;Devourer 233/h×46;Glooth Blob 497/h×43;Rot Elemental 533/h×46,
Hero Fortres,52135,1.0,1,130117,Bonebeast 94/h×36;Dwarf Henchman 47/h×101;Hero 143/h×101;Lich 4/h×101;Mad Technomancer 1/h×101;Mechanical Fighter 3/h×101;Rat 1/h×101;Renegade Knight 50/h×16;Stone Golem 6/h×101;Vicious Squire 247/h×101,
Cults Carlin,42381,1.0,1,70037,Cult Believer 264/h×16;Cult Enforcer 163/h×16;Renegade Knight 212/h×16;Vicious Squire 296/h×101;Vile Grandmaster 144/h×16,
Yalahar Bog Raiders Central,37596,1.0,1,75424,Acid Blob 2/h×78;Bog Raider 296/h×78;Death Blob 66/h×78;Mutated Tiger 20/h×78;Nightmare 34/h×78;Nightmare Scion 64/h×78,
Port Hope Spider Cave,27318,1.0,2,57963,Giant Spider 276/h×62;Tarantula 122/h×84,
Port Hope Water Elementals (South),19552,1.0,1,39651,Quara Mantassin Scout 75/h×44;Water Elemental 369/h×44,
Liberty Bay Quara Grotto,16352,1.0,1,66622,Quara Constrictor 44/h×43;Quara Constrictor Scout 33/h×43;Quara Hydromancer 41/h×43;Quara Hydromancer Scout 16/h×43;Quara Mantassin 52/h×43;Quara Mantassin Scout 52/h×44;Quara Pincher 38/h×43;Quara Pincher Scout 49/h×43;Quara Predator 16/h×43;Quara Predator Scout 38/h×43,
lavas with prey,0,0.0,1,,,Ravenous Lava Lurker
Ravenous Lava Lurker,0,0.0,2,,,Dromedary|Ravenous Lava Lurker
