spawn,creature,avg_kills_h,n_sessions,value_per_kill,contrib_h,top_loot
Banuta -4,Bear,1.1,1,1819,1948,meat|—||ham|—|
Banuta -4,Wolf,1.1,1,1819,1948,meat|—|
Banuta -4,Nomad,1.1,1,1400,1500,gold coins|—|
Banuta -4,White Lion,6.4,1,222,1427,terra boots|2203|📦|twin hooks|152||great spirit potions|113||platinum coins|—|
Banuta -4,Frost Troll,0.5,1,1819,974,spears|1||wooden shields|—||rapiers|—||gold coins|—|
Banuta -4,Centipede,0.5,1,1819,974,centipede legs and gold coins |—|
Banuta -4,Scorpion,0.5,1,1819,974,
Banuta -4,The Noxious Spawn,0.5,1,1819,974,
Banuta -4,Gorgo,0.5,1,1819,974,
Banuta -4,Hyaena,0.5,1,692,370,meat and worms |—|
Banuta -4,Bat,2.7,1,92,246,
Banuta -4,Bonebeast,2.1,1,24,51,bony tails|183||skulls|1||gold coins|—||bones|—|
Behemoth (Cyclopolis),Behemoth,252.0,1,183,46116,battle stones|128||assassin stars|4||platinum coins|—||meat|—|
Behemoth (Cyclopolis),Cyclops Drone,120.0,1,183,21960,meat|—||gold coins|—|
Behemoth (Cyclopolis),Cyclops Smith,68.0,1,183,12444,cyclops toes|27||meat|—||gold coins|—|
Behemoth (Cyclopolis),Dwarf Soldier,36.0,1,183,6588,white mushrooms|3||shovels|1||bolts|1||soldier helmets|—|
Behemoth (Cyclopolis),Cyclops,36.0,1,183,6588,meat|—||gold coins|—|
Behemoth (Cyclopolis),Dragon,12.0,1,183,2196,crossbows|54||steel shields|17||gold coins|—||dragon&#39;s tails|—|
Burster Spectre,Burster Spectre,612.0,1,308,188496,great spirit potions|113||platinum coins|—|
Burster Spectres,Burster Spectre,788.7,3,308,242920,great spirit potions|113||platinum coins|—|
Caminho de Ferumbras,Vexclaw,289.3,1,1410,407960,demonic essence|898||fire mushrooms|176||great spirit potions|113||ultimate health potions|91|
Caminho de Ferumbras,Grimeleech,256.0,1,1470,376320,some grimeleech wings|1160|🧪|demonic essence|898||great spirit potions|113||great mana potions|32|
Caminho de Ferumbras,Demon,320.0,1,902,288640,demonic essence|898||demon horns|601||fire mushrooms|176||small amethysts|172|
Caminho de Ferumbras,Hellflayer,64.0,1,1470,94080,demonic essence|898||great spirit potions|113||ultimate health potions|91||great mana potions|32|
Crumbling Caverns,Cinder Wyrmling,535.7,2,331,177307,platinum coins|—||gold coins|—|
Crumbling Caverns,Shell Drake,413.1,2,315,130126,platinum coins|—||gold coins|—|
Crypt Warrior,Crypt Warrior,819.9,2,217,177924,unholy bones|289||soul orbs|20||pelvis bones|11||white mushrooms|3|
Cults Carlin,Vicious Squire,295.7,1,67,19812,crossbows|54||bolts|1||meat|—||gold coins|—|
Cults Carlin,Cult Believer,263.6,1,10,2635,meat|—||gold coins|—|
Cults Carlin,Renegade Knight,212.1,1,10,2121,platinum coins|—||gold coins|—|
Cults Carlin,Cult Enforcer,162.9,1,10,1628,meat|—||gold coins|—|
Cults Carlin,Vile Grandmaster,143.6,1,10,1435,platinum coins|—||meat|—||gold coins|—|
Dark Fauns -2,Dark Faun,524.0,1,112,58688,shimmering beetles|1000|📦|fairy wings|106|🧪|strong health potions|4||gold coins|—|
Dark Fauns -2,Twisted Pooka,432.0,1,112,48384,shimmering beetles|1000|📦|fairy wings|106|🧪|strong health potions|4||gold coins|—|
Dark Fauns -2,Boogy,230.0,1,112,25760,shimmering beetles|1000|📦|fairy wings|106|🧪|strong health potions|4||gold coins|—|
Demon Goroma,Fire Elemental,240.0,1,620,148800,nothing |—|
Demon Goroma,Demon,104.3,1,902,94044,demonic essence|898||demon horns|601||fire mushrooms|176||small amethysts|172|
Demon Goroma,Demon Skeleton,89.5,1,527,47170,demonic skeletal hands|51||throwing stars|—||gold coins|—|
Demon Goroma,Hellhound,25.6,1,1382,35342,demonic essence|898||blazing bones|363||black pearls|231||great spirit potions|113|
Demon Goroma,Dragon Lord,35.4,1,222,7860,green mushrooms|88||gold coins|—||dragon ham|—|
Demons Edron,Demon,50.4,1,902,45422,demonic essence|898||demon horns|601||fire mushrooms|176||small amethysts|172|
Demons Edron,Dark Apprentice,4.3,1,902,3865,gold coins|—||dead frogs|—|
Demons Edron,Dark Magician,2.1,1,902,1932,mana potions|47||health potions|24||blank runes|7||gold coins|—|
Demons Edron,Massive Fire Elemental,8.6,1,222,1902,platinum coins|—||gold coins|—|
"Duo buried -2 ED, EK",Ripper Spectre,278.4,1,427,118876,two handed swords|238||great spirit potions|113||platinum coins|—|
"Duo buried -2 ED, EK",Arachnophobica,240.0,1,437,104880,great spirit potions|113||platinum coins|—|
"Duo buried -2 ED, EK",Gazer Spectre,172.8,1,416,71884,brown crystal splinters|263||small diamonds|241||small sapphires|214||platinum coins|—|
"Duo buried -2 ED, EK",Burster Spectre,19.2,1,308,5913,great spirit potions|113||platinum coins|—|
Duo burried cathedral,Arachnophobica,316.2,1,437,138186,great spirit potions|113||platinum coins|—|
Duo burried cathedral,Burster Spectre,371.4,1,308,114376,great spirit potions|113||platinum coins|—|
Duo burried cathedral,Gazer Spectre,193.0,1,416,80276,brown crystal splinters|263||small diamonds|241||small sapphires|214||platinum coins|—|
Duo burried cathedral,Ripper Spectre,68.1,1,427,29082,two handed swords|238||great spirit potions|113||platinum coins|—|
Edron Vampire Crypts,Demon Skeleton,50.3,1,527,26492,demonic skeletal hands|51||throwing stars|—||gold coins|—|
Edron Vampire Crypts,Vampire,120.0,1,54,6480,gold coins|—|
Edron Vampire Crypts,Necromancer,113.5,1,24,2724,poison arrows|1||gold coins|—||books of necromantic rituals|—|
Edron Vampire Crypts,Bonebeast,110.3,1,24,2646,bony tails|183||skulls|1||gold coins|—||bones|—|
Edron Vampire Crypts,Vampire Bride,21.1,1,54,1138,vampire teeth|300|🧪|strong mana potions|100||platinum coins|—||gold coins|—|
Edron Vampire Crypts,Vampire Viscount,17.8,1,54,963,gold coins|—|
Exotic Cave,Exotic Bat,272.7,1,156,42545,green mushrooms|88||dark mushrooms|82||great mana potions|32||platinum coins|—|
Exotic Cave,Exotic Cave Spider,110.9,1,156,17301,poison arrows|1||platinum coins|—||great health potions|—|
Exotic Cave,Pirat Scoundrel,5.5,1,156,850,great mana potions|32|
Exotic Cave,Pirat Cutthroat,3.6,1,156,567,ice rapiers|684||great health potions|—|
Feru way,Grimeleech,263.5,1,1470,387313,some grimeleech wings|1160|🧪|demonic essence|898||great spirit potions|113||great mana potions|32|
Feru way,Vexclaw,272.2,1,1410,383765,demonic essence|898||fire mushrooms|176||great spirit potions|113||ultimate health potions|91|
Feru way,Demon,297.4,1,902,268246,demonic essence|898||demon horns|601||fire mushrooms|176||small amethysts|172|
Feru way,Hellflayer,86.1,1,1470,126547,demonic essence|898||great spirit potions|113||ultimate health potions|91||great mana potions|32|
GAZER SPECTRE +21% DMG BOUNTY,Gazer Spectre,625.5,1,416,260221,brown crystal splinters|263||small diamonds|241||small sapphires|214||platinum coins|—|
GAZER SPECTRE +21% DMG BOUNTY,Thanatursus,80.4,1,419,33698,halberds|274||platinum coins|—||meat|—||ham|—|
Gazer Spectre,Gazer Spectre,601.0,1,416,250016,brown crystal splinters|263||small diamonds|241||small sapphires|214||platinum coins|—|
Gazer Spectre,Thanatursus,59.0,1,419,24721,halberds|274||platinum coins|—||meat|—||ham|—|
Gazer Spectres,Gazer Spectre,666.0,1,416,277056,brown crystal splinters|263||small diamonds|241||small sapphires|214||platinum coins|—|
Gazer Spectres,Thanatursus,90.0,1,419,37710,halberds|274||platinum coins|—||meat|—||ham|—|
Glooth Plains - Surface,Rot Elemental,418.0,1,29,12122,strong mana potions|100||strong health potions|4||platinum coins|—||gold coins|—|
Glooth Plains - Surface,Glooth Blob,416.0,1,26,10816,gold coins|—||globs of glooth|—|
Glooth Plains - Surface,Blood Beast,310.0,1,29,8990,poisoned fangs|837||slime hearts|98||gold coins|—|
Glooth Plains - Surface,Devourer,278.0,1,29,8062,platinum coins|—||gold coins|—||globs of glooth|—|
Glooth Plains - Surface (Oramond),Rot Elemental,532.9,1,29,15452,strong mana potions|100||strong health potions|4||platinum coins|—||gold coins|—|
Glooth Plains - Surface (Oramond),Glooth Blob,497.1,1,26,12925,gold coins|—||globs of glooth|—|
Glooth Plains - Surface (Oramond),Devourer,232.9,1,29,6752,platinum coins|—||gold coins|—||globs of glooth|—|
Glooth Plains - Surface (Oramond),Blood Beast,157.1,1,29,4557,poisoned fangs|837||slime hearts|98||gold coins|—|
Glooth Tower,Rustheap Golem,417.6,1,165,68904,necromantic rust|1409|📦|platinum coins|—||gold coins|—|
Glooth Tower,Glooth Golem,340.8,1,165,56231,glooth injection tubes|1421||great mana potions|32||platinum coins|—||gold coins|—|
Glooth Tower,Devourer,266.4,1,29,7725,platinum coins|—||gold coins|—||globs of glooth|—|
Glooth Tower,Rot Elemental,187.2,1,29,5428,strong mana potions|100||strong health potions|4||platinum coins|—||gold coins|—|
Glooth Tower,Quara Hydromancer Scout,7.2,1,29,208,quara eyes|1143||shrimp|2||gold coins|—||fish|—|
Glooth Tower,Quara Constrictor Scout,7.2,1,29,208,shrimp|2||quara tentacles|—||gold coins|—|
Glooth Tower,Quara Predator Scout,4.8,1,29,139,quara bones|460||gold coins|—|
Glooth Tower,Quara Pincher Scout,4.8,1,29,139,quara pincers|356|📦|gold coins|—|
Glooth Tower,Blood Beast,2.4,1,29,69,poisoned fangs|837||slime hearts|98||gold coins|—|
Gnomegate Lava Hot Spot,Vulcongra,427.2,1,222,94838,magma clumps|716||platinum coins|—||gold coins|—||bananas|—|
Gnomegate Lava Hot Spot,Massive Fire Elemental,283.2,1,222,62870,platinum coins|—||gold coins|—|
Gnomegate Lava Hot Spot,Dragon Lord,168.0,1,222,37296,green mushrooms|88||gold coins|—||dragon ham|—|
Grim Reaper (Yalahar),Grim Reaper,505.3,2,201,101572,demonic essence|898||gold coins|—||flasks of demonic blood|—|
Grim Reaper Yalahar,Grim Reaper,530.0,1,201,106530,demonic essence|898||gold coins|—||flasks of demonic blood|—|
Grim reaper Yalahar,Grim Reaper,535.3,1,201,107603,demonic essence|898||gold coins|—||flasks of demonic blood|—|
Grim reaper Yalahar,Nightmare,4.1,1,52,212,demonic essence|898||scythe legs|455||soul orbs|20||ham|—|
Grim reaper Yalahar,Nightmare Scion,3.5,1,52,181,meat|—||gold coins|—|
Hellspawn (Yalahar),Hellspawn,358.7,2,225,80707,hellspawn tails|265||great health potions|—||gold coins|—|
Hellspawn (Yalahar),Plaguesmith,53.3,2,144,7671,two handed swords|238||battle hammers|112||morning stars|34||steel shields|17|
Hellspawn (Yalahar),Gozzler,9.3,2,225,2087,plate shields|10||gold coins|—|
Hero Fortres,Vicious Squire,247.3,1,67,16570,crossbows|54||bolts|1||meat|—||gold coins|—|
Hero Fortres,Hero,143.4,1,67,9608,bows|40||arrows|2||red roses|1||sniper arrows|—|
Hero Fortres,Dwarf Henchman,46.8,1,67,3137,
Hero Fortres,Bonebeast,93.7,1,24,2247,bony tails|183||skulls|1||gold coins|—||bones|—|
Hero Fortres,Wyvern,17.6,1,67,1176,wyvern talismans|4068||gold coins|—||dragon ham|—|
Hero Fortres,Renegade Knight,49.8,1,10,497,platinum coins|—||gold coins|—|
Hero Fortres,Stone Golem,5.9,1,67,392,sulphurous stones|100||small stones|5||gold coins|—|
Hero Fortres,Lich,4.4,1,67,294,spellbooks|—||platinum coins|—||gold coins|—|
Hero Fortres,Vile Grandmaster,23.4,1,10,234,platinum coins|—||meat|—||gold coins|—|
Hero Fortres,Mechanical Fighter,2.9,1,67,196,
Hero Fortres,Rat,1.5,1,67,98,cheese and gold coins |—|
Hero Fortres,Mad Technomancer,1.5,1,67,98,
Liberty Bay Quara Grotto,Quara Mantassin Scout,51.8,1,29,1502,gold coins|—|
Liberty Bay Quara Grotto,Quara Mantassin,51.8,1,29,1502,mantassin tails|932||gold coins|—|
Liberty Bay Quara Grotto,Quara Pincher Scout,49.1,1,29,1423,quara pincers|356|📦|gold coins|—|
Liberty Bay Quara Grotto,Quara Constrictor,43.6,1,29,1265,quara tentacles|—||gold coins|—|
Liberty Bay Quara Grotto,Quara Hydromancer,40.9,1,29,1186,quara eyes|1143||gold coins|—|
Liberty Bay Quara Grotto,Quara Predator Scout,38.2,1,29,1107,quara bones|460||gold coins|—|
Liberty Bay Quara Grotto,Quara Pincher,38.2,1,29,1107,quara pincers|356|📦|platinum coins|—||great health potions|—||gold coins|—|
Liberty Bay Quara Grotto,Quara Constrictor Scout,32.7,1,29,949,shrimp|2||quara tentacles|—||gold coins|—|
Liberty Bay Quara Grotto,Quara Predator,16.4,1,29,474,quara bones|460||gold coins|—|
Liberty Bay Quara Grotto,Quara Hydromancer Scout,16.4,1,29,474,quara eyes|1143||shrimp|2||gold coins|—||fish|—|
Lower Spike,Vulcongra,118.8,1,222,26373,magma clumps|716||platinum coins|—||gold coins|—||bananas|—|
Lower Spike,Lost Thrower,160.8,1,160,25728,lost bracers|1349|📦|mad froths|1000||broken throwing axes|736||bloody dwarven beards|78|
Lower Spike,Lost Basher,153.6,1,160,24576,
Lower Spike,Lost Husher,140.4,1,160,22463,
Lower Spike,Wyrm,118.8,1,160,19008,wyrm scales|353||strong mana potions|100||strong health potions|4||gold coins|—|
Lower Spike,Behemoth,79.2,1,183,14493,battle stones|128||assassin stars|4||platinum coins|—||meat|—|
Lower Spike,Drillworm,90.0,1,160,14400,green crystal splinters|353||blue crystal splinters|349||brown crystal splinters|263||coal|5|
Lower Spike,Dragon Lord,48.0,1,222,10656,green mushrooms|88||gold coins|—||dragon ham|—|
Lower Spike,Enslaved Dwarf,42.0,1,160,6720,iron ore|403||small amethysts|172||small emeralds|161||platinum coins|—|
Lower Spike,Nightmare Scion,6.0,1,52,312,meat|—||gold coins|—|
Lycanthrope Grounds (Edron),Werefox,246.0,2,185,45510,werefox tails|1328||fox paws|918||platinum coins|—||gold coins|—|
Lycanthrope Grounds (Edron),Werebadger,207.5,2,185,38387,werebadger claws|688|📦|werebadger skulls|—||platinum coins|—||gold coins|—|
Lycanthrope Grounds (Edron),Wereboar,149.0,2,185,27565,wereboar tusks|942|📦|wereboar hooves|96|🧪|platinum coins|—||gold coins|—|
Lycanthrope Grounds (Edron),Werewolf,149.0,1,180,26820,werewolf fur|1223|📦|werewolf fangs|102||plate shields|10||gold coins|—|
Lycanthrope Grounds (Edron),Werebear,95.5,2,180,17190,werebear fur|2174|📦|werebear skulls|1865||platinum coins|—||ham|—|
Lycanthrope Grounds (Edron),Bloodback,4.0,1,185,740,
Medusa Tower,Medusa,121.6,1,1819,221152,ultimate health potions|91||great mana potions|32||strands of medusa hair|—||platinum coins|—|
Medusa Tower,Serpent Spawn,211.6,1,341,72148,small sapphires|214||snake skins|205||green mushrooms|88||gold coins|—|
Medusa Tower,Clay Guardian,116.8,1,341,39843,blank runes|7||small stones|5||lumps of earth|—||gold coins|—|
Medusa Tower,Omnivora,115.3,1,341,39304,white mushrooms|3||ham|—||gold coins|—||fish|—|
Medusa Tower,Behemoth,154.7,1,183,28316,battle stones|128||assassin stars|4||platinum coins|—||meat|—|
Medusa Tower,Gargoyle,6.3,1,341,2153,small stones|5||stone wings|—||potatoes|—||gold coins|—|
Medusa Tower,Stone Golem,3.2,1,67,211,sulphurous stones|100||small stones|5||gold coins|—|
Norc Castle,Norcferatu Heartless,360.0,1,605,217800,platinum coins|—|
Norc Castle,Norcferatu Nightweaver,352.0,1,605,212960,platinum coins|—|
Norc Castle,Varg,252.0,1,605,152460,platinum coins|—|
Norc Castle,Orclops Bloodbreaker,64.0,1,605,38720,
Norc Castle,Gloom Maw,44.0,1,605,26620,
Norc Castle,Dworc Shadowstalker,8.0,1,605,4840,
Norc Castle,Tarantula,16.0,1,56,896,tarantula eggs|90||gold coins|—|
North Roshamuul (South - SOLO RP),Retching Horror,746.0,1,766,571436,great mana potions|32||pools of chitinous glue|—||platinum coins|—||great health potions|—|
North Roshamuul (South - SOLO RP),Choking Fear,700.0,1,766,536200,brown crystal splinters|263||great spirit potions|113||ultimate health potions|91||great mana potions|32|
North Roshamuul (South - SOLO RP),Frazzlemaw,300.0,1,745,223500,frazzle tongues|505||frazzle skins|336||brown crystal splinters|263||great mana potions|32|
North Roshamuul (South - SOLO RP),Silencer,284.0,1,745,211580,silencer claws|3804|🧪|platinum coins|—||gold coins|—|
Podzilla Quaras,Quara Raider,578.5,6,630,364426,platinum coins|—|
Podzilla Quaras,Quara Looter,358.2,6,560,200571,platinum coins|—|
Podzilla Quaras,Quara Plunderer,290.1,6,630,182750,platinum coins|—|
Port Hope Spider Cave,Giant Spider,276.0,2,41,11316,plate armors|112||poison arrows|1||gold coins|—|
Port Hope Spider Cave,Tarantula,121.5,2,56,6804,tarantula eggs|90||gold coins|—|
Port Hope Water Elementals (South),Water Elemental,369.4,1,29,10711,strong mana potions|100||strong health potions|4||platinum coins|—||gold coins|—|
Port Hope Water Elementals (South),Quara Mantassin Scout,75.0,1,29,2175,gold coins|—|
Quara (bestiary),Quara Raider,386.2,1,630,243337,platinum coins|—|
Quara (bestiary),Quara Looter,293.4,1,560,164325,platinum coins|—|
Quara (bestiary),Quara Plunderer,205.3,1,630,129346,platinum coins|—|
Quaras Podzilla,Quara Raider,657.3,3,630,414081,platinum coins|—|
Quaras Podzilla,Quara Looter,494.5,3,560,276945,platinum coins|—|
Quaras Podzilla,Quara Plunderer,330.3,3,630,208090,platinum coins|—|
Ravenous Lava Lurker,Ravenous Lava Lurker,394.7,2,,,
Ravenous Lava Lurker,Dromedary,2.1,1,,,meat |—|
Ripper Spectre,Ripper Spectre,601.2,5,427,256731,two handed swords|238||great spirit potions|113||platinum coins|—|
Ripper Spectre,Arachnophobica,503.7,5,437,220096,great spirit potions|113||platinum coins|—|
Roshamuul,Frazzlemaw,202.9,1,745,151128,frazzle tongues|505||frazzle skins|336||brown crystal splinters|263||great mana potions|32|
Roshamuul,Silencer,108.6,1,745,80885,silencer claws|3804|🧪|platinum coins|—||gold coins|—|
Roshamuul,Shock Head,11.4,1,765,8742,gold coins|—|
Roshamuul DP,Choking Fear,728.1,3,766,557695,brown crystal splinters|263||great spirit potions|113||ultimate health potions|91||great mana potions|32|
Roshamuul DP,Retching Horror,675.0,3,766,517030,great mana potions|32||pools of chitinous glue|—||platinum coins|—||great health potions|—|
Roshamuul DP,Silencer,290.5,3,745,216435,silencer claws|3804|🧪|platinum coins|—||gold coins|—|
Roshamuul DP,Frazzlemaw,262.6,3,745,195627,frazzle tongues|505||frazzle skins|336||brown crystal splinters|263||great mana potions|32|
Roshamuul West,Frazzlemaw,664.5,2,745,495023,frazzle tongues|505||frazzle skins|336||brown crystal splinters|263||great mana potions|32|
Roshamuul West,Silencer,499.7,2,745,372299,silencer claws|3804|🧪|platinum coins|—||gold coins|—|
Roshamuul West,Guzzlemaw,305.9,2,729,223017,frazzle tongues|505||great mana potions|32||platinum coins|—||great health potions|—|
Roshamuul West,Sight of Surrender,1.8,1,745,1375,stone skin amulets|8895||blue crystal shards|1347||broken visors|578||green crystal splinters|353|
STONFIN 0908,Stonerefiner,680.9,1,92,62639,poisonous slime|28|🧪|coal|5||rat cheese and stonerefiner&#39;s skulls |—||rare earth|—|
STONFIN 0908,Bat,13.0,1,92,1200,
STONFIN 0908,Tarantula,17.0,1,56,949,tarantula eggs|90||gold coins|—|
STONFIN 0908,Corym Charlatan,9.1,1,92,840,soft cheese|—||rat cheese|—||gold coins|—||cheese|—|
STONFIN 0908,Marsh Stalker,5.2,1,92,480,worms|1||meat|—||gold coins|—||fish|—|
STONFIN 0908,Feverish Citizen,5.2,1,92,480,
STONFIN 0908,Corym Skirmisher,5.2,1,92,480,soft cheese|—||rat cheese|—||gold coins|—||cheese|—|
STONFIN 0908,Snake,5.2,1,54,281,nothing |—|
STONFIN 0908,Swampling,2.6,1,92,240,white mushrooms|3||swampling mosses|—||pieces of swampling wood|—||gold coins|—|
Sea serpent (Svargrond),Young Sea Serpent,392.4,1,76,29822,morning stars|34||gold coins|—|
Sea serpent (Svargrond),Sea Serpent,318.0,1,76,24168,sea serpent scales|362||platinum coins|—||gold coins|—||dragon ham|—|
Teste 1 Quara Podizilla,Quara Raider,452.0,1,630,284760,platinum coins|—|
Teste 1 Quara Podizilla,Quara Looter,300.0,1,560,168000,platinum coins|—|
Teste 1 Quara Podizilla,Quara Plunderer,232.0,1,630,146160,platinum coins|—|
Teste 2 Quara Podizilla,Quara Raider,427.5,1,630,269325,platinum coins|—|
Teste 2 Quara Podizilla,Quara Looter,320.6,1,560,179550,platinum coins|—|
Teste 2 Quara Podizilla,Quara Plunderer,233.4,1,630,147065,platinum coins|—|
True asuras,True Midnight Asura,648.6,9,1382,896300,
True asuras,True Dawnfire Asura,539.1,9,1382,744986,
True asuras,Hellhound,165.4,9,1382,228628,demonic essence|898||blazing bones|363||black pearls|231||great spirit potions|113|
True asuras,True Frost Flower Asura,142.7,9,1297,185125,
True asuras,Hyaena,13.6,1,692,9436,meat and worms |—|
True asuras,Nomad,1.2,6,1400,1620,gold coins|—|
True asuras,Crocodile,1.0,1,1297,1341,pieces of crocodile leather|—||ham|—||gold coins|—|
True asuras,Dawnfire Asura,1.0,1,426,440,demonic essence|898||peacock feather fans|208||soul orbs|20||platinum coins|—|
True asuras,Hellspawn,1.9,1,225,428,hellspawn tails|265||great health potions|—||gold coins|—|
Upper Roshamuul,Choking Fear,561.0,1,766,429726,brown crystal splinters|263||great spirit potions|113||ultimate health potions|91||great mana potions|32|
Upper Roshamuul,Retching Horror,554.5,1,766,424747,great mana potions|32||pools of chitinous glue|—||platinum coins|—||great health potions|—|
Upper Roshamuul,Frazzlemaw,266.0,1,745,198170,frazzle tongues|505||frazzle skins|336||brown crystal splinters|263||great mana potions|32|
Upper Roshamuul,Silencer,206.0,1,745,153470,silencer claws|3804|🧪|platinum coins|—||gold coins|—|
Vampire Crypt (Edron),Vampire Bride,445.3,1,54,24044,vampire teeth|300|🧪|strong mana potions|100||platinum coins|—||gold coins|—|
Vampire Crypt (Edron),Vampire Viscount,378.9,1,54,20463,gold coins|—|
Vampire Crypt (Edron),Vampire,353.7,1,54,19098,gold coins|—|
Vampire Crypt (Edron),Wolf,2.1,1,1819,3829,meat|—|
Vampire Crypt (Edron),Snake,9.5,1,54,511,nothing |—|
Vampire Crypt (Edron),Wyvern,2.1,1,67,141,wyvern talismans|4068||gold coins|—||dragon ham|—|
Vampire Crypt (Edron),Wisp,2.1,1,54,113,
Vampire Crypt (Edron),Rabbit,1.1,1,54,56,carrots and meat |—|
Vampire Crypt (Edron),Deer,1.1,1,54,56,meat|—||ham|—|
Werehayena hunt,Werehyaena,241.0,1,209,50372,halberds|274||werehyaena noses|159||platinum coins|—||meat|—|
Werehayena hunt,Werehyaena Shaman,128.1,1,209,26780,small amethysts|172||werehyaena noses|159||great mana potions|32||platinum coins|—|
Werehyena MS 290+,Werehyaena,637.3,1,209,133195,halberds|274||werehyaena noses|159||platinum coins|—||meat|—|
Werehyena MS 290+,Werehyaena Shaman,373.0,1,209,77951,small amethysts|172||werehyaena noses|159||great mana potions|32||platinum coins|—|
Werelion -1,Werelioness,727.7,1,222,161558,soul orbs|20||rapiers|—||platinum coins|—||meat|—|
Werelion -1,Werelion,683.2,1,222,151676,dark armors|121||great spirit potions|113||platinum coins|—||lion&#39;s manes|—|
Werelion -1,White Lion,249.7,1,222,55428,terra boots|2203|📦|twin hooks|152||great spirit potions|113||platinum coins|—|
Werelion -1 (post nerf),Werelioness,556.4,1,222,123512,soul orbs|20||rapiers|—||platinum coins|—||meat|—|
Werelion -1 (post nerf),Werelion,504.0,1,222,111888,dark armors|121||great spirit potions|113||platinum coins|—||lion&#39;s manes|—|
Werelion -1 (post nerf),White Lion,173.5,1,222,38506,terra boots|2203|📦|twin hooks|152||great spirit potions|113||platinum coins|—|
Werelion -1 (post nerf),Yirkas Blue Scales,1.1,1,222,242,
Werelions -1,Werelioness,648.8,2,222,144036,soul orbs|20||rapiers|—||platinum coins|—||meat|—|
Werelions -1,Werelion,566.2,2,222,125706,dark armors|121||great spirit potions|113||platinum coins|—||lion&#39;s manes|—|
Werelions -1,White Lion,177.4,2,222,39377,terra boots|2203|📦|twin hooks|152||great spirit potions|113||platinum coins|—|
Weretiger -2,Cunning Werepanther,604.9,1,447,270374,platinum coins|—||gold coins|—|
Weretiger -2,Weretiger,394.1,1,447,176142,weretiger teeth|—||platinum coins|—||gold coins|—|
Weretiger -2,White Weretiger,220.5,1,447,98581,weretiger teeth|—||platinum coins|—||gold coins|—|
Weretigers -1,Cunning Werepanther,487.7,1,447,217983,platinum coins|—||gold coins|—|
Weretigers -1,Weretiger,325.5,1,447,145512,weretiger teeth|—||platinum coins|—||gold coins|—|
Weretigers -1,White Weretiger,141.7,1,447,63340,weretiger teeth|—||platinum coins|—||gold coins|—|
Weretigers -2,Cunning Werepanther,398.0,1,447,177906,platinum coins|—||gold coins|—|
